ID,Name,EquipmentType,Rarity,OwnedType,EquippedType,Equipped_Base
1,Armor_1,ARMOR,Common,HP,HP,52
2,Armor_2,ARMOR,Common,HP,HP,57
3,Armor_3,ARMOR,Common,HP,HP,61
4,Armor_4,ARMOR,Common,HP,HP,64
5,Armor_5,ARMOR,Uncommon,HP,HP,242
6,Armor_6,ARMOR,Uncommon,HP,HP,265
7,Armor_7,ARMOR,Uncommon,HP,HP,284
8,Armor_8,ARMOR,Uncommon,HP,HP,298
9,Armor_9,ARMOR,Rare,HP,HP,1124
10,Armor_10,ARMOR,Rare,HP,HP,1232
11,Armor_11,ARMOR,Rare,HP,HP,1319
12,Armor_12,ARMOR,Rare,HP,HP,1384
13,Armor_13,ARMOR,Epic,HP,HP,5228
14,Armor_14,ARMOR,Epic,HP,HP,5731
15,Armor_15,ARMOR,Epic,HP,HP,6133
16,Armor_16,ARMOR,Epic,HP,HP,6366
17,Armor_17,ARMOR,Legend,HP,HP,24050
18,Armor_18,ARMOR,Legend,HP,HP,26363
19,Armor_19,ARMOR,Legend,HP,HP,28213
20,Armor_20,ARMOR,Legend,HP,HP,29282
21,Armor_21,ARMOR,Immortal,HP,HP,110631
22,Armor_22,ARMOR,Immortal,HP,HP,121269
23,Armor_23,ARMOR,Immortal,HP,HP,129779
24,Armor_24,ARMOR,Immortal,HP,HP,134697
25,Armor_25,ARMOR,Ancient,HP,HP,508904
26,Armor_26,ARMOR,Ancient,HP,HP,557837
27,Armor_27,ARMOR,Ancient,HP,HP,596983
28,Armor_28,ARMOR,Ancient,HP,HP,619608
